Symbol,Name
AA,Alcoa Inc. Common Stock
AXP,American Express Company Common
BA,Boeing Company (The) Common Sto
BAC,Bank of America Corporation Com
CAT,"Caterpillar, Inc. Common Stock"
CSCO,"Cisco Systems, Inc."
CVX,Chevron Corporation Common Stoc
DD,E.I. du Pont de Nemours and Com
DIS,Walt Disney Company (The) Commo
GE,General Electric Company Common
HD,"Home Depot, Inc. (The) Common S"
HPQ,Hewlett-Packard Company Common
IBM,International Business Machines
INTC,Intel Corporation
JNJ,Johnson & Johnson Common Stock
JPM,JP Morgan Chase & Co. Common St
KFT,Kraft Foods Inc.
KO,Coca-Cola Company (The) Common
MCD,McDonald's Corporation Common S
MMM,3M Company Common Stock
MRK,"Merck & Company, Inc. Common St"
MSFT,Microsoft Corporation
PFE,"Pfizer, Inc. Common Stock"
PG,Procter & Gamble Company (The)
T,AT&T Inc.
TRV,"The Travelers Companies, Inc. C"
UTX,United Technologies Corporation
VZ,Verizon Communications Inc. Com
WMT,"Wal-Mart Stores, Inc. Common St"
XOM,Exxon Mobil Corporation Common
